trade_id,entry_unix,entry_et,entry_time_et,entry_price,entry_session_id,exit_unix,exit_et,exit_time_et,exit_price,exit_session_id,direction,bars_held,minutes_held,stop_price_at_entry,max_adverse_excursion_usd,point_value_usd,loss_cap_usd,exit_reason,pnl_pct,trade_profit_pct,pnl_usd,trade_profit_usd,cumulative_pnl_pct,cumulative_pnl_usd,result,updated_at_utc
1768576500|SHORT,1768576500,2026-01-16 10:15:00 ET,2026-01-16 10:15:00 ET,25676.0,,1768593300,2026-01-16 14:55:00 ET,2026-01-16 14:55:00 ET,25727.0,,SHORT,55,,,,,,,-0.2256470611117667,-0.2256470611117667,-112.82353055588334,-112.82353055588334,-0.2256470611117667,-112.82353055588334,LOSS,2026-03-30T02:38:12.514629+00:00
1768888800|SHORT,1768888800,2026-01-20 01:00:00 ET,2026-01-20 01:00:00 ET,25377.5,2026-01-20,1768893000,2026-01-20 02:10:00 ET,2026-01-20 02:10:00 ET,25287.25,2026-01-20,SHORT,14,70.0,25402.5,-50.0,20.0,500.0,signal_flat,3.61,3.61,1805.0,1805.0,3.384352938888233,1692.1764694441167,WIN,2026-03-30T03:21:20.302614+00:00
1768890000|SHORT,1768890000,2026-01-20 01:20:00 ET,2026-01-20 01:20:00 ET,25322.5,,1768906800,2026-01-20 06:00:00 ET,2026-01-20 06:00:00 ET,25176.0,,SHORT,55,,,,,,,0.5544924480671121,0.5544924480671121,277.246224033556,277.246224033556,3.9388453869553453,1969.4226934776727,WIN,2026-03-30T02:38:12.514666+00:00
1768893300|SHORT,1768893300,2026-01-20 02:15:00 ET,2026-01-20 02:15:00 ET,25272.5,2026-01-20,1768893900,2026-01-20 02:25:00 ET,2026-01-20 02:25:00 ET,25297.5,2026-01-20,SHORT,2,10.0,25297.5,-575.0,20.0,500.0,loss_cap,-1.0,-1.0,-500.0,-500.0,2.9388453869553453,1469.4226934776727,LOSS,2026-03-30T04:16:29.549488+00:00
1768893900|SHORT,1768893900,2026-01-20 02:25:00 ET,2026-01-20 02:25:00 ET,25296.25,2026-01-20,1768895700,2026-01-20 02:55:00 ET,2026-01-20 02:55:00 ET,25284.0,2026-01-20,SHORT,6,30.0,25321.25,-100.0,20.0,500.0,signal_flat,0.49,0.49,245.0,245.0,3.428845386955345,1714.4226934776727,WIN,2026-03-30T04:16:29.549528+00:00
1768902600|SHORT,1768902600,2026-01-20 04:50:00 ET,2026-01-20 04:50:00 ET,25122.0,2026-01-20,1768903800,2026-01-20 05:10:00 ET,2026-01-20 05:10:00 ET,25147.0,2026-01-20,SHORT,4,20.0,25147.0,-925.0,20.0,500.0,loss_cap,-1.0,-1.0,-500.0,-500.0,2.428845386955345,1214.4226934776727,LOSS,2026-03-30T04:16:29.549585+00:00
1768903800|SHORT,1768903800,2026-01-20 05:10:00 ET,2026-01-20 05:10:00 ET,25163.75,2026-01-20,1768904400,2026-01-20 05:20:00 ET,2026-01-20 05:20:00 ET,25188.75,2026-01-20,SHORT,2,10.0,25188.75,-555.0,20.0,500.0,loss_cap,-1.0,-1.0,-500.0,-500.0,1.428845386955345,714.4226934776727,LOSS,2026-03-30T04:16:29.549605+00:00
1768904400|SHORT,1768904400,2026-01-20 05:20:00 ET,2026-01-20 05:20:00 ET,25185.25,2026-01-20,1768904700,2026-01-20 05:25:00 ET,2026-01-20 05:25:00 ET,25196.5,2026-01-20,SHORT,1,5.0,25210.25,-445.0,20.0,500.0,signal_flat,-0.44999999999999996,-0.44999999999999996,-225.0,-225.0,0.9788453869553451,489.42269347767274,LOSS,2026-03-30T04:16:29.549625+00:00
1768913400|LONG,1768913400,2026-01-20 07:50:00 ET,2026-01-20 07:50:00 ET,25272.5,,1768930200,2026-01-20 12:30:00 ET,2026-01-20 12:30:00 ET,25339.25,,LONG,55,,,,,,,0.2390394188874545,0.2390394188874545,119.51970944372725,119.51970944372725,1.2178848058427996,608.9424029214,WIN,2026-03-30T02:38:12.514696+00:00
1768933500|SHORT,1768933500,2026-01-20 13:25:00 ET,2026-01-20 13:25:00 ET,25247.75,,1768946100,2026-01-20 16:55:00 ET,2026-01-20 16:55:00 ET,25139.0,,SHORT,41,,,,,,,0.4061724815316303,0.4061724815316303,203.08624076581515,203.08624076581515,1.62405728737443,812.0286436872152,WIN,2026-03-30T02:38:12.514718+00:00
